0,2,0,3
0,19,1,19
0,36,0,37
0,37,1,37
1,6,2,6
1,24,1,25
1,42,2,42
2,20,3,20
2,22,3,22
2,48,3,48
3,1,4,1
3,17,3,18
3,25,3,26
3,32,4,32
3,39,3,40
4,2,4,3
4,18,4,19
4,19,4,20
4,29,5,29
4,38,5,38
4,39,5,39
5,6,6,6
5,9,6,9
5,10,6,10
5,12,5,13
5,17,5,18
5,47,5,48
5,49,6,49
6,4,7,4
6,37,6,38
6,38,6,39
6,47,6,48
7,0,7,1
7,7,7,8
7,9,8,9
7,10,7,11
7,13,8,13
7,24,7,25
7,38,7,39
8,0,9,0
8,6,9,6
8,10,8,11
9,25,10,25
9,34,10,34
9,35,10,35
9,41,10,41
10,23,10,24
10,28,10,29
10,31,10,32
11,12,11,13
11,15,12,15
11,29,11,30
12,8,13,8
12,32,12,33
12,46,12,47
13,13,13,14
13,20,14,20
13,34,14,34
13,38,13,39
13,40,13,41
14,14,14,15
14,22,14,23
14,34,14,35
14,42,15,42
15,12,16,12
15,22,16,22
15,40,15,41
16,14,16,15
16,15,16,16
16,32,17,32
16,39,16,40
16,46,17,46
16,47,16,48
17,15,18,15
17,27,17,28
17,31,18,31
18,0,18,1
18,2,19,2
18,17,18,18
19,6,20,6
19,29,19,30
20,1,21,1
20,21,21,21
20,24,20,25
20,31,20,32
21,2,21,3
21,13,21,14
21,23,21,24
21,29,21,30
21,42,22,42
21,45,22,45
22,1,23,1
22,13,23,13
22,21,23,21
22,40,23,40
22,44,23,44
23,12,23,13
23,42,24,42
23,48,23,49
24,27,24,28
24,34,25,34
25,11,25,12
25,12,26,12
25,16,25,17
25,17,25,18
25,40,25,41
25,42,26,42
26,2,26,3
26,21,26,22
26,41,26,42
27,0,27,1
27,46,27,47
28,1,28,2
28,18,29,18
28,25,29,25
29,5,30,5
29,26,29,27
29,28,29,29
29,37,30,37
29,46,29,47
29,47,30,47
30,0,30,1
30,2,30,3
30,8,31,8
30,11,30,12
30,14,30,15
30,32,31,32
30,42,30,43
31,4,32,4
31,9,31,10
31,28,31,29
31,30,32,30
31,43,32,43
32,7,32,8
32,7,33,7
32,37,33,37
32,39,32,40
32,44,33,44
33,43,34,43
33,46,34,46
34,0,34,1
34,15,35,15
34,24,35,24
35,20,36,20
35,22,35,23
35,44,36,44
35,49,36,49
36,8,36,9
36,19,37,19
36,20,36,21
36,22,37,22
36,34,37,34
36,35,37,35
36,38,36,39
37,2,38,2
37,14,38,14
37,23,37,24
38,1,38,2
38,27,38,28
38,29,38,30
38,36,38,37
38,44,38,45
39,17,39,18
39,36,39,37
39,38,39,39
40,11,41,11
40,31,40,32
40,36,41,36
40,40,40,41
41,7,42,7
41,13,41,14
41,14,41,15
42,15,43,15
42,17,43,17
42,20,43,20
42,26,42,27
42,33,43,33
42,34,42,35
43,3,43,4
43,9,44,9
43,31,44,31
44,12,45,12
44,15,45,15
44,38,44,39
45,0,45,1
45,10,45,11
45,28,45,29
45,32,46,32
45,35,46,35
46,15,46,16
47,8,48,8
47,28,48,28
47,41,48,41
47,44,48,44
48,8,49,8
48,15,49,15
48,32,49,32
48,41,49,41
48,45,48,46
49,14,49,15
